time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-03 00:00:00+00:00,1,1,0,0
2025-10-09 00:00:00+00:00,2,1,6,1
2025-10-11 00:00:00+00:00,1,1,0,0
2025-10-15 00:00:00+00:00,0,0,1,1
2025-10-17 00:00:00+00:00,0,0,1,1
2025-10-21 00:00:00+00:00,0,0,1,1
2025-10-23 00:00:00+00:00,1,1,0,0
2025-10-26 00:00:00+00:00,1,1,0,0
2025-10-28 00:00:00+00:00,2,2,0,0
2025-10-31 00:00:00+00:00,1,1,0,0
2025-11-03 00:00:00+00:00,1,1,0,0
2025-12-08 00:00:00+00:00,1,1,0,0
2025-12-09 00:00:00+00:00,1,1,0,0
2025-12-18 00:00:00+00:00,0,0,1,1
2025-12-19 00:00:00+00:00,1,1,0,0
2025-12-21 00:00:00+00:00,1,1,0,0
2025-12-22 00:00:00+00:00,1,1,0,0
2025-12-23 00:00:00+00:00,3,1,0,0
